filename,xmin,ymin,xmax,ymax,confidence
1_000922_jpg.rf.31c437134bbe7bfe269470fd668c33e9.jpg,262,347,281,385,0.736846
1_000922_jpg.rf.31c437134bbe7bfe269470fd668c33e9.jpg,237,395,265,451,0.729197
1_000922_jpg.rf.31c437134bbe7bfe269470fd668c33e9.jpg,329,479,353,524,0.607156
1_000922_jpg.rf.31c437134bbe7bfe269470fd668c33e9.jpg,230,333,257,376,0.575691
1_000922_jpg.rf.31c437134bbe7bfe269470fd668c33e9.jpg,189,523,211,567,0.369799
1_000922_jpg.rf.31c437134bbe7bfe269470fd668c33e9.jpg,289,397,312,444,0.362937
1_000922_jpg.rf.31c437134bbe7bfe269470fd668c33e9.jpg,149,156,170,194,0.348053
1_000922_jpg.rf.31c437134bbe7bfe269470fd668c33e9.jpg,471,251,500,300,0.328689
1_000922_jpg.rf.31c437134bbe7bfe269470fd668c33e9.jpg,253,575,280,626,0.276105
1_000095_jpg.rf.9431b7d0ba33df7eead5c0a9cb7b3910.jpg,280,363,299,392,0.641235
1_000095_jpg.rf.9431b7d0ba33df7eead5c0a9cb7b3910.jpg,383,286,403,317,0.432179
1_000095_jpg.rf.9431b7d0ba33df7eead5c0a9cb7b3910.jpg,545,144,560,167,0.407302
1_000095_jpg.rf.9431b7d0ba33df7eead5c0a9cb7b3910.jpg,198,443,216,478,0.39845
1_000095_jpg.rf.9431b7d0ba33df7eead5c0a9cb7b3910.jpg,455,151,468,173,0.363224
1_000095_jpg.rf.9431b7d0ba33df7eead5c0a9cb7b3910.jpg,337,468,351,493,0.310895
1_000822_jpg.rf.a2f41e9294055601aee519e1f299ab50.jpg,299,211,381,376,0.937597
1_000822_jpg.rf.a2f41e9294055601aee519e1f299ab50.jpg,29,452,74,551,0.30206
1_000257_jpg.rf.1c9e3d682447b81e37279335e927f856.jpg,442,373,476,423,0.836669
1_000257_jpg.rf.1c9e3d682447b81e37279335e927f856.jpg,161,423,178,449,0.530678
1_000954_jpg.rf.41d799071ea8c968550f5d89deb6697f.jpg,410,114,454,199,0.851546
1_000954_jpg.rf.41d799071ea8c968550f5d89deb6697f.jpg,378,476,403,529,0.766132
1_000954_jpg.rf.41d799071ea8c968550f5d89deb6697f.jpg,483,47,525,133,0.720518
1_000954_jpg.rf.41d799071ea8c968550f5d89deb6697f.jpg,557,394,594,455,0.716386
1_000954_jpg.rf.41d799071ea8c968550f5d89deb6697f.jpg,101,62,130,107,0.646153
1_000954_jpg.rf.41d799071ea8c968550f5d89deb6697f.jpg,418,379,445,437,0.45203
1_000954_jpg.rf.41d799071ea8c968550f5d89deb6697f.jpg,438,206,464,252,0.416897
1_000954_jpg.rf.41d799071ea8c968550f5d89deb6697f.jpg,274,254,296,309,0.356559
1_000954_jpg.rf.41d799071ea8c968550f5d89deb6697f.jpg,221,2,243,43,0.313059
1_000954_jpg.rf.41d799071ea8c968550f5d89deb6697f.jpg,284,187,318,261,0.294926
1_000954_jpg.rf.41d799071ea8c968550f5d89deb6697f.jpg,447,446,482,519,0.278361
1_000954_jpg.rf.41d799071ea8c968550f5d89deb6697f.jpg,162,57,186,97,0.274252
1_000641_jpg.rf.afe4623d210c1d15c2b9d5802a797831.jpg,492,412,512,455,0.805557
1_000641_jpg.rf.afe4623d210c1d15c2b9d5802a797831.jpg,262,445,305,524,0.689309
1_000641_jpg.rf.afe4623d210c1d15c2b9d5802a797831.jpg,296,311,318,349,0.626398
1_000641_jpg.rf.afe4623d210c1d15c2b9d5802a797831.jpg,527,515,548,553,0.501622
1_000641_jpg.rf.afe4623d210c1d15c2b9d5802a797831.jpg,404,51,427,95,0.363356
1_000641_jpg.rf.afe4623d210c1d15c2b9d5802a797831.jpg,325,269,348,307,0.356832
1_000641_jpg.rf.afe4623d210c1d15c2b9d5802a797831.jpg,426,560,444,596,0.347359
1_000641_jpg.rf.afe4623d210c1d15c2b9d5802a797831.jpg,400,197,428,254,0.289693
1_000641_jpg.rf.afe4623d210c1d15c2b9d5802a797831.jpg,281,223,302,272,0.273322
1_000641_jpg.rf.afe4623d210c1d15c2b9d5802a797831.jpg,567,505,583,532,0.262731
1_000641_jpg.rf.afe4623d210c1d15c2b9d5802a797831.jpg,556,554,576,597,0.257816
1_000787_jpg.rf.8dde1b7b10b861724f5f8bbcf5b7ca10.jpg,187,324,240,430,0.720282
1_000787_jpg.rf.8dde1b7b10b861724f5f8bbcf5b7ca10.jpg,459,351,495,426,0.706922
1_000787_jpg.rf.8dde1b7b10b861724f5f8bbcf5b7ca10.jpg,16,466,76,553,0.63595
1_000787_jpg.rf.8dde1b7b10b861724f5f8bbcf5b7ca10.jpg,182,581,211,634,0.591559
1_000787_jpg.rf.8dde1b7b10b861724f5f8bbcf5b7ca10.jpg,110,367,171,474,0.583579
1_000787_jpg.rf.8dde1b7b10b861724f5f8bbcf5b7ca10.jpg,196,430,240,501,0.523933
1_000787_jpg.rf.8dde1b7b10b861724f5f8bbcf5b7ca10.jpg,107,365,172,532,0.350353
1_000787_jpg.rf.8dde1b7b10b861724f5f8bbcf5b7ca10.jpg,193,319,241,509,0.302106
1_000787_jpg.rf.8dde1b7b10b861724f5f8bbcf5b7ca10.jpg,197,360,240,502,0.294638
1_000787_jpg.rf.8dde1b7b10b861724f5f8bbcf5b7ca10.jpg,359,0,405,122,0.28731
1_000787_jpg.rf.8dde1b7b10b861724f5f8bbcf5b7ca10.jpg,377,525,429,599,0.278682
1_000660_jpg.rf.fe90135a8ecd2ac175cd026fab60037d.jpg,284,398,299,425,0.469961
1_000660_jpg.rf.fe90135a8ecd2ac175cd026fab60037d.jpg,263,482,278,512,0.371595
1_000660_jpg.rf.fe90135a8ecd2ac175cd026fab60037d.jpg,216,284,231,309,0.356901
1_000660_jpg.rf.fe90135a8ecd2ac175cd026fab60037d.jpg,172,29,189,57,0.258007
1_000895_jpg.rf.f1bd6aff111d2db4fe83c087b27592db.jpg,221,151,263,217,0.661685
1_000895_jpg.rf.f1bd6aff111d2db4fe83c087b27592db.jpg,400,276,448,355,0.579923
1_000895_jpg.rf.f1bd6aff111d2db4fe83c087b27592db.jpg,210,303,257,397,0.566117
1_000895_jpg.rf.f1bd6aff111d2db4fe83c087b27592db.jpg,301,126,342,206,0.492695
1_000895_jpg.rf.f1bd6aff111d2db4fe83c087b27592db.jpg,32,175,56,219,0.479142
1_000895_jpg.rf.f1bd6aff111d2db4fe83c087b27592db.jpg,212,330,256,397,0.288397
1_000078_jpg.rf.8c5b6034cb504fd704fcfe8ae7e0db1e.jpg,175,114,220,168,0.745282
1_000078_jpg.rf.8c5b6034cb504fd704fcfe8ae7e0db1e.jpg,314,285,358,351,0.665242
1_000078_jpg.rf.8c5b6034cb504fd704fcfe8ae7e0db1e.jpg,437,448,466,487,0.270972
1_000477_jpg.rf.f0dcd6a403d617d9530cb0b7601723ac.jpg,316,370,362,435,0.870065
1_000477_jpg.rf.f0dcd6a403d617d9530cb0b7601723ac.jpg,303,331,338,368,0.74011
1_000477_jpg.rf.f0dcd6a403d617d9530cb0b7601723ac.jpg,362,333,395,373,0.663416
1_000477_jpg.rf.f0dcd6a403d617d9530cb0b7601723ac.jpg,220,126,246,155,0.559679
1_000477_jpg.rf.f0dcd6a403d617d9530cb0b7601723ac.jpg,271,147,298,187,0.39144
1_000477_jpg.rf.f0dcd6a403d617d9530cb0b7601723ac.jpg,237,267,262,301,0.344305
1_000477_jpg.rf.f0dcd6a403d617d9530cb0b7601723ac.jpg,514,57,566,132,0.330445
1_000477_jpg.rf.f0dcd6a403d617d9530cb0b7601723ac.jpg,300,149,323,180,0.316363
1_000371_jpg.rf.e04234b6b7f5661dcd3e83d2c63f8f8c.jpg,161,490,233,576,0.893837
1_000371_jpg.rf.e04234b6b7f5661dcd3e83d2c63f8f8c.jpg,355,376,390,416,0.828103
1_000371_jpg.rf.e04234b6b7f5661dcd3e83d2c63f8f8c.jpg,197,357,257,447,0.714657
1_000371_jpg.rf.e04234b6b7f5661dcd3e83d2c63f8f8c.jpg,195,329,235,386,0.635687
1_000371_jpg.rf.e04234b6b7f5661dcd3e83d2c63f8f8c.jpg,333,346,357,382,0.581043
1_000371_jpg.rf.e04234b6b7f5661dcd3e83d2c63f8f8c.jpg,194,328,254,447,0.466927
1_000371_jpg.rf.e04234b6b7f5661dcd3e83d2c63f8f8c.jpg,539,177,584,231,0.449232
1_000371_jpg.rf.e04234b6b7f5661dcd3e83d2c63f8f8c.jpg,349,258,380,302,0.440911
1_000371_jpg.rf.e04234b6b7f5661dcd3e83d2c63f8f8c.jpg,351,310,381,346,0.438854
1_000371_jpg.rf.e04234b6b7f5661dcd3e83d2c63f8f8c.jpg,556,430,606,499,0.432953
1_000371_jpg.rf.e04234b6b7f5661dcd3e83d2c63f8f8c.jpg,312,7,347,47,0.325298
1_000371_jpg.rf.e04234b6b7f5661dcd3e83d2c63f8f8c.jpg,141,140,167,181,0.313817
1_000371_jpg.rf.e04234b6b7f5661dcd3e83d2c63f8f8c.jpg,374,138,398,175,0.305806
1_000371_jpg.rf.e04234b6b7f5661dcd3e83d2c63f8f8c.jpg,479,519,530,582,0.250836
1_000356_jpg.rf.057d6f5a9fd03699346d9089f2d4a3b1.jpg,26,248,71,283,0.731134
1_000356_jpg.rf.057d6f5a9fd03699346d9089f2d4a3b1.jpg,274,228,340,281,0.682563
1_000356_jpg.rf.057d6f5a9fd03699346d9089f2d4a3b1.jpg,211,475,262,521,0.66991
